<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,15,20190624,101500,229.5400000,230.4500000,229.4700000,230.3900000,1250640
GAZP,15,20190624,103000,230.4000000,231.2000000,230.2100000,230.6500000,1216210
GAZP,15,20190624,104500,230.6500000,230.9000000,230.3100000,230.4400000,542900
GAZP,15,20190624,110000,230.3900000,230.7400000,230.1300000,230.4600000,321290
GAZP,15,20190624,111500,230.4600000,230.8700000,230.2400000,230.7000000,279690
GAZP,15,20190624,113000,230.7000000,231.3500000,230.6200000,231.3300000,713310
GAZP,15,20190624,114500,231.3500000,231.8500000,231.2700000,231.7000000,850260
GAZP,15,20190624,120000,231.7100000,232.2000000,231.4800000,232.1700000,1396720
GAZP,15,20190624,121500,232.1800000,232.2600000,231.8600000,232.0300000,606220
GAZP,15,20190624,123000,232.0400000,232.1700000,231.5200000,231.7400000,540180
GAZP,15,20190624,124500,231.7400000,231.9000000,231.6500000,231.8300000,259710
GAZP,15,20190624,130000,231.8200000,231.9000000,231.7700000,231.8500000,295630
GAZP,15,20190624,131500,231.8900000,232.2600000,231.7700000,232.2500000,732370
GAZP,15,20190624,133000,232.2500000,232.7600000,232.2400000,232.6100000,1120310
GAZP,15,20190624,134500,232.6200000,232.6400000,232.1900000,232.2900000,564460
GAZP,15,20190624,140000,232.3000000,232.4900000,232.1100000,232.4500000,199210
GAZP,15,20190624,141500,232.4400000,232.5000000,231.5000000,231.6800000,486440
GAZP,15,20190624,143000,231.6800000,231.9500000,231.6200000,231.7900000,571220
GAZP,15,20190624,144500,231.7800000,232.2500000,231.7700000,232.0300000,643460
GAZP,15,20190624,150000,232.0300000,232.5900000,232.0300000,232.4700000,810500
GAZP,15,20190624,151500,232.4800000,232.9000000,232.4800000,232.7700000,984130
GAZP,15,20190624,153000,232.7700000,232.8800000,232.4800000,232.6800000,273250
GAZP,15,20190624,154500,232.6900000,232.9600000,232.5000000,232.9300000,494500
GAZP,15,20190624,160000,232.9500000,233.0400000,232.4500000,232.4600000,931920
GAZP,15,20190624,161500,232.4600000,232.8900000,232.0100000,232.8000000,505470
GAZP,15,20190624,163000,232.7900000,232.8800000,232.0100000,232.2700000,433840
GAZP,15,20190624,164500,232.2000000,232.5600000,231.8500000,232.0300000,365530
GAZP,15,20190624,170000,232.0200000,232.1500000,231.6600000,231.8500000,539910
GAZP,15,20190624,171500,231.8500000,231.8800000,231.1700000,231.3300000,844300
GAZP,15,20190624,173000,231.3300000,231.7500000,231.2400000,231.7200000,353650
GAZP,15,20190624,174500,231.7200000,231.7800000,231.3500000,231.4500000,239400
GAZP,15,20190624,180000,231.4600000,232.2500000,231.2000000,232.1400000,315590
GAZP,15,20190624,181500,232.1800000,232.4400000,231.9300000,232.1100000,411850
GAZP,15,20190624,183000,232.1100000,232.3500000,231.5700000,231.7000000,353480
GAZP,15,20190624,184500,231.7200000,232.2900000,231.5600000,232.2900000,884600
GAZP,15,20190624,190000,232.3800000,232.3800000,232.3800000,232.3800000,716220
GAZP,15,20190625,101500,232.0200000,232.1900000,231.0900000,231.2400000,2105980
GAZP,15,20190625,103000,231.3500000,231.6200000,231.1300000,231.5400000,517460
GAZP,15,20190625,104500,231.5400000,231.8000000,231.4100000,231.5900000,239980
GAZP,15,20190625,110000,231.5200000,231.5800000,231.0400000,231.0600000,683880
GAZP,15,20190625,111500,231.1100000,231.2400000,230.2100000,230.3300000,1048330
GAZP,15,20190625,113000,230.3300000,230.6300000,229.6400000,230.1800000,1361780
GAZP,15,20190625,114500,230.2000000,230.3700000,229.9000000,230.2500000,585550
GAZP,15,20190625,120000,230.2600000,230.3500000,229.9000000,229.9900000,1036210
GAZP,15,20190625,121500,229.9900000,230.1900000,229.8800000,230.1400000,744850
GAZP,15,20190625,123000,230.1400000,230.5400000,230.0200000,230.4700000,611250
GAZP,15,20190625,124500,230.4000000,230.5200000,229.9200000,229.9200000,649910
GAZP,15,20190625,130000,229.9400000,230.2900000,229.6400000,230.2900000,1134460
GAZP,15,20190625,131500,230.2900000,230.4900000,229.9200000,230.0000000,411360
GAZP,15,20190625,133000,229.9600000,230.2600000,229.8300000,230.0800000,413830
GAZP,15,20190625,134500,230.0800000,230.1100000,230.0000000,230.0100000,155800
GAZP,15,20190625,140000,230.0100000,230.2500000,229.9400000,230.2500000,377950
GAZP,15,20190625,141500,230.2300000,230.5000000,230.0300000,230.0700000,524280
GAZP,15,20190625,143000,230.1100000,230.5500000,230.0400000,230.4200000,200160
GAZP,15,20190625,144500,230.4500000,230.6000000,230.4000000,230.4900000,203150
GAZP,15,20190625,150000,230.4900000,230.5000000,230.3000000,230.4000000,88380
GAZP,15,20190625,151500,230.4000000,230.4700000,230.1000000,230.1300000,133350
GAZP,15,20190625,153000,230.1300000,230.2100000,229.9600000,230.2000000,364760
GAZP,15,20190625,154500,230.1900000,230.1900000,229.9600000,230.1000000,155690
GAZP,15,20190625,160000,230.1000000,230.4500000,230.0900000,230.2800000,141430
GAZP,15,20190625,161500,230.3400000,230.6800000,230.2000000,230.5000000,363460
GAZP,15,20190625,163000,230.5200000,230.6500000,230.4300000,230.5000000,425260
GAZP,15,20190625,164500,230.5400000,230.6600000,230.3500000,230.5200000,357820
GAZP,15,20190625,170000,230.5500000,230.5700000,229.8200000,229.9000000,681080
GAZP,15,20190625,171500,229.9100000,230.2000000,229.8400000,229.9800000,577280
GAZP,15,20190625,173000,229.9900000,230.0400000,229.8700000,230.0000000,207790
GAZP,15,20190625,174500,230.0000000,230.1900000,229.9200000,230.1500000,458600
GAZP,15,20190625,180000,230.1400000,230.3200000,230.0300000,230.3200000,281330
GAZP,15,20190625,181500,230.3100000,230.6000000,230.2300000,230.4000000,583740
GAZP,15,20190625,183000,230.4500000,231.2300000,230.4300000,230.9400000,887230
GAZP,15,20190625,184500,230.9400000,231.9000000,230.9000000,231.7500000,1612630
GAZP,15,20190625,190000,232.0900000,232.0900000,232.0900000,232.0900000,1153600
GAZP,15,20190626,101500,232.5200000,232.8000000,232.0000000,232.8000000,1400040
GAZP,15,20190626,103000,232.8000000,233.0300000,232.4500000,232.6300000,980780
GAZP,15,20190626,104500,232.5500000,232.6700000,232.0000000,232.6200000,446100
GAZP,15,20190626,110000,232.6200000,232.6800000,232.1300000,232.5500000,425050
GAZP,15,20190626,111500,232.6000000,232.7300000,232.2300000,232.4600000,485260
GAZP,15,20190626,113000,232.4700000,233.0100000,232.3300000,232.8200000,1121970
GAZP,15,20190626,114500,232.8700000,233.1500000,232.7200000,233.0600000,847990
GAZP,15,20190626,120000,233.1400000,233.2500000,232.5300000,232.6000000,631910
GAZP,15,20190626,121500,232.6600000,233.0800000,232.6200000,232.9500000,367890
GAZP,15,20190626,123000,233.0000000,233.2200000,232.8600000,233.1800000,502430
GAZP,15,20190626,124500,233.1500000,233.6000000,233.0800000,233.2800000,1211110
GAZP,15,20190626,130000,233.3400000,233.3900000,232.5700000,232.8000000,402270
GAZP,15,20190626,131500,232.8500000,232.9800000,232.6100000,232.7700000,242360
GAZP,15,20190626,133000,232.7700000,232.8500000,232.6000000,232.6100000,117570
GAZP,15,20190626,134500,232.6600000,232.6900000,232.5100000,232.5800000,304410
GAZP,15,20190626,140000,232.5900000,233.0900000,232.4800000,233.0100000,332220
GAZP,15,20190626,141500,233.0100000,233.2300000,232.8500000,233.0000000,291580
GAZP,15,20190626,143000,233.0000000,233.0500000,232.8200000,233.0200000,113540
GAZP,15,20190626,144500,233.0200000,233.0800000,232.5100000,232.6400000,268910
GAZP,15,20190626,150000,232.5800000,232.8200000,232.2300000,232.3200000,249870
GAZP,15,20190626,151500,232.3200000,232.8900000,232.2400000,232.6900000,731440
GAZP,15,20190626,153000,232.7200000,232.7200000,232.3000000,232.4700000,442980
GAZP,15,20190626,154500,232.4800000,232.5600000,232.1800000,232.2700000,325070
GAZP,15,20190626,160000,232.2700000,232.5200000,232.2100000,232.4500000,268130
GAZP,15,20190626,161500,232.4600000,232.6600000,232.0000000,232.5500000,775260
GAZP,15,20190626,163000,232.5500000,232.8700000,232.4800000,232.7100000,192900
GAZP,15,20190626,164500,232.6600000,232.9300000,232.5800000,232.7000000,311430
GAZP,15,20190626,170000,232.6500000,232.6500000,232.1800000,232.3300000,316780
GAZP,15,20190626,171500,232.4000000,232.5000000,232.1000000,232.4900000,277690
GAZP,15,20190626,173000,232.4100000,232.6200000,232.3000000,232.5000000,322100
GAZP,15,20190626,174500,232.5700000,232.8000000,232.2200000,232.2800000,577580
GAZP,15,20190626,180000,232.3000000,233.1500000,232.3000000,233.0900000,1367820
GAZP,15,20190626,181500,233.0900000,233.3200000,232.9800000,233.0900000,822650
GAZP,15,20190626,183000,233.0500000,233.2200000,233.0200000,233.0800000,568320
GAZP,15,20190626,184500,233.0900000,233.1000000,232.8800000,233.0700000,525860
GAZP,15,20190626,190000,233.1000000,233.1000000,233.1000000,233.1000000,625710
GAZP,15,20190627,101500,233.0100000,233.4000000,232.8100000,233.1200000,1138530
GAZP,15,20190627,103000,233.1000000,233.3500000,232.7900000,233.2100000,843460
GAZP,15,20190627,104500,233.2800000,234.5400000,233.2300000,234.4500000,1562180
GAZP,15,20190627,110000,234.4500000,234.9300000,234.2100000,234.6100000,1788940
GAZP,15,20190627,111500,234.6100000,234.7500000,234.0700000,234.1700000,704220
