<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;200402;100100;183.8000000;184.7800000;183.6300000;183.7900000;1116030
GAZP;1;200402;100200;183.8100000;184.3700000;183.7500000;184.2800000;589570
GAZP;1;200402;100300;184.2900000;184.4500000;184.0100000;184.2500000;727070
GAZP;1;200402;100400;184.2600000;184.4400000;183.7200000;183.8200000;390560
GAZP;1;200402;100500;183.9000000;183.9500000;182.8100000;182.9800000;511950
GAZP;1;200402;100600;182.9000000;183.7900000;182.8900000;183.6300000;299090
GAZP;1;200402;100700;183.6800000;183.8700000;183.4400000;183.5000000;186030
GAZP;1;200402;100800;183.4400000;183.4800000;182.8000000;182.8000000;602080
GAZP;1;200402;100900;182.8500000;182.9500000;182.5300000;182.9000000;281200
GAZP;1;200402;101000;182.9000000;183.5400000;182.8300000;183.4400000;280360
GAZP;1;200402;101100;183.4700000;183.7500000;183.3600000;183.6000000;125320
GAZP;1;200402;101200;183.5300000;183.6000000;183.2500000;183.4000000;198620
GAZP;1;200402;101300;183.4500000;183.6400000;183.2500000;183.3500000;264470
GAZP;1;200402;101400;183.2800000;183.2800000;182.9000000;182.9900000;158150
GAZP;1;200402;101500;182.9900000;183.1600000;182.7500000;183.0000000;156030
GAZP;1;200402;101600;183.0000000;183.3000000;183.0000000;183.2100000;195270
GAZP;1;200402;101700;183.2800000;183.6600000;183.2000000;183.3700000;285180
GAZP;1;200402;101800;183.3600000;183.4500000;182.9500000;183.0900000;440870
GAZP;1;200402;101900;183.0400000;183.3800000;182.9700000;183.2000000;176690
GAZP;1;200402;102000;183.1200000;183.4000000;183.0200000;183.3800000;129570
GAZP;1;200402;102100;183.3800000;183.4900000;183.1600000;183.2600000;132430
GAZP;1;200402;102200;183.2600000;183.2800000;183.0100000;183.1000000;132400
GAZP;1;200402;102300;183.1000000;183.3100000;183.0900000;183.2700000;45010
GAZP;1;200402;102400;183.2500000;183.3500000;183.0700000;183.1700000;184270
GAZP;1;200402;102500;183.1900000;183.1900000;182.9500000;183.0100000;82390
GAZP;1;200402;102600;183.0300000;183.1000000;182.9000000;182.9100000;153440
GAZP;1;200402;102700;182.9600000;182.9700000;182.8000000;182.8000000;139020
GAZP;1;200402;102800;182.8200000;182.9900000;182.8000000;182.9300000;142080
